,subject,accuracy,mean_rt,scaled_rt_slope,entropy,vocab
1,blast_a_001,0.531,603.228,0.027,0.964,114
2,blast_a_002,0.594,428.235,-0.02,0.342,103
3,blast_a_003,0.438,491.659,0.012,0.73,92
4,blast_a_004,0.5,508.226,0.007,0.983,114
5,blast_a_005,0.844,490.703,0.006,0.543,133
6,blast_a_006,0.625,558.061,0.042,0.784,120
7,blast_a_007,0.594,525.083,0.007,0.713,104
8,blast_a_008,0.625,593.333,0.003,0.812,103
9,blast_a_009,0.625,671.942,-0.013,0.917,96
10,blast_a_010,0.594,550.841,0.014,0.887,120
11,blast_a_011,0.531,528.846,0.005,0.905,127
12,blast_a_013,0.594,540.245,-0.003,0.895,121
13,blast_a_014,0.656,336.267,-0.052,0.744,114
14,blast_a_015,0.594,575.098,0.005,0.837,113
15,blast_a_016,0.594,464.869,-0.002,0.941,128
16,blast_a_017,0.531,726.553,-0.018,0.77,120
17,blast_a_018,0.438,521.666,0.011,0.801,108
18,blast_a_019,0.406,570.921,0.003,0.781,115
19,blast_a_021,0.688,505.212,-0.02,0.747,120
20,blast_a_022,0.812,475.049,0.006,0.352,97
21,blast_a_023,0.531,529.336,0.014,0.802,91
22,blast_a_024,0.812,596.59,-0.001,0.437,119
23,blast_a_025,0.531,0,0,0.884,110
24,blast_a_026,0.625,368.871,-0.01,0.916,129
25,blast_a_028,0.594,541.717,0.015,0.802,138
26,blast_a_030,0.625,475.394,-0.008,0.936,113
27,blast_a_032,0.688,644.41,-0.027,0.697,113
28,blast_a_035,0.906,410.45,-0.012,0.408,103
29,blast_a_037,0.5,204.868,0.009,0.78,115
30,blast_a_038,0.875,682.609,-0.038,0.475,108
31,blast_a_039,0.625,716.305,0.014,0.93,94
32,blast_a_040,0.531,624,-0.006,0.894,123
33,blast_a_041,0.656,508.561,0.002,0.816,96
34,blast_a_042,0.5,542.22,0.019,0.954,103
35,blast_a_043,0.625,695.323,0.029,0.78,133
36,blast_a_044,0.656,570.045,0.011,0.816,114
37,blast_a_045,0.531,565.191,-0.013,0.816,130
38,blast_a_046,0.625,522.045,0.003,0.827,116
39,blast_a_047,0.812,605.757,-0.032,0.522,149
40,blast_a_048,0.688,555.529,-0.024,0.727,126
41,blast_a_049,0.5,775.758,0.024,0.954,133
42,blast_a_050,0.406,638.607,0.022,0.863,102
43,blast_a_051,0.375,550.606,0.001,0.677,127
44,blast_a_052,0.469,568.22,0.032,0.941,133