soundFile1,soundFile2,soundFile3,soundFile4,soundFile5,soundFile6,corrAns
1B.wav,3C.wav,2A.wav,2B.wav,1C.wav,3A.wav,left
3B.wav,1C.wav,4A.wav,4B.wav,3C.wav,4A.wav,left
1B.wav,2C.wav,1A.wav,1B.wav,3C.wav,2A.wav,right
2B.wav,4C.wav,1A.wav,3B.wav,4C.wav,2A.wav,left
4B.wav,2C.wav,3A.wav,2B.wav,1C.wav,3A.wav,left
2B.wav,4C.wav,1A.wav,3B.wav,4C.wav,2A.wav,left
4B.wav,3C.wav,4A.wav,1B.wav,3C.wav,2A.wav,right
1B.wav,2C.wav,1A.wav,3B.wav,1C.wav,4A.wav,right
2B.wav,1C.wav,3A.wav,4B.wav,2C.wav,3A.wav,right
3B.wav,4C.wav,2A.wav,2B.wav,4C.wav,1A.wav,right
3B.wav,1C.wav,4A.wav,4B.wav,3C.wav,4A.wav,left
1B.wav,3C.wav,2A.wav,1B.wav,2C.wav,1A.wav,left
3B.wav,1C.wav,4A.wav,4B.wav,3C.wav,4A.wav,left
3B.wav,4C.wav,2A.wav,2B.wav,4C.wav,1A.wav,right
2B.wav,1C.wav,3A.wav,1B.wav,3C.wav,2A.wav,right
4B.wav,2C.wav,3A.wav,1B.wav,2C.wav,1A.wav,left
3B.wav,4C.wav,2A.wav,3B.wav,1C.wav,4A.wav,right
4B.wav,3C.wav,4A.wav,2B.wav,4C.wav,1A.wav,right
4B.wav,2C.wav,3A.wav,2B.wav,1C.wav,3A.wav,left
1B.wav,3C.wav,2A.wav,4B.wav,3C.wav,4A.wav,left
3B.wav,4C.wav,2A.wav,4B.wav,2C.wav,3A.wav,right
1B.wav,3C.wav,2A.wav,1B.wav,2C.wav,1A.wav,left
2B.wav,1C.wav,3A.wav,2B.wav,4C.wav,1A.wav,right
3B.wav,1C.wav,4A.wav,1B.wav,2C.wav,1A.wav,left
2B.wav,1C.wav,3A.wav,4B.wav,2C.wav,3A.wav,right
1B.wav,3C.wav,2A.wav,4B.wav,3C.wav,4A.wav,left
3B.wav,4C.wav,2A.wav,2B.wav,4C.wav,1A.wav,right
3B.wav,1C.wav,4A.wav,4B.wav,3C.wav,4A.wav,left
2B.wav,4C.wav,1A.wav,1B.wav,2C.wav,1A.wav,left
2B.wav,1C.wav,3A.wav,4B.wav,2C.wav,3A.wav,right
1B.wav,2C.wav,1A.wav,1B.wav,3C.wav,2A.wav,right
3B.wav,4C.wav,2A.wav,3B.wav,1C.wav,4A.wav,right