word,location,image,repetition,trialnum,condition,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trial_key_resp.keys,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,v_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,Run,vtarget,PartID,ltarget,frameRate,expName,date,
1,1,Alien4.bmp,1,1,S,0,0,0,0,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,2,Alien5.bmp,1,2,S,0,1,1,1,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,3,Alien6.bmp,1,3,S,0,2,2,2,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
2,1,Alien1.bmp,1,4,S,0,3,3,3,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
2,2,Alien2.bmp,1,5,S,0,4,4,4,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
2,3,Alien3.bmp,1,6,S,0,5,5,5,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,1,Alien10.bmp,1,7,S,0,6,6,6,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,2,Alien11.bmp,1,8,S,0,7,7,7,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,3,Alien12.bmp,1,9,S,0,8,8,8,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,1,Alien4.bmp,2,10,S,0,9,9,9,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,2,Alien5.bmp,2,11,S,0,10,10,10,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,3,Alien6.bmp,2,12,S,0,11,11,11,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,1,Alien7.bmp,1,13,S,0,12,12,12,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,2,Alien8.bmp,1,14,S,0,13,13,13,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,3,Alien9.bmp,1,15,S,0,14,14,14,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
2,1,Alien1.bmp,2,16,S,0,15,15,15,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
2,2,Alien2.bmp,2,17,S,0,16,16,16,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
2,3,Alien3.bmp,2,18,S,0,17,17,17,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,1,Alien10.bmp,2,19,S,0,18,18,18,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,2,Alien11.bmp,2,20,S,0,19,19,19,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,3,Alien12.bmp,2,21,S,0,20,20,20,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,1,Alien4.bmp,3,22,S,0,21,21,21,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,2,Alien5.bmp,3,23,S,0,22,22,22,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,3,Alien6.bmp,3,24,S,0,23,23,23,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,0,24,24,24,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,0,25,25,25,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,0,26,26,26,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,0,27,27,27,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,0,28,28,28,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,0,29,29,29,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,0,30,30,30,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,0,31,31,31,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,0,32,32,32,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,0,33,33,33,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,0,34,34,34,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,0,35,35,35,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,B.png,1,1,R,,,,,0,0,0,0,,,,,,3,0.112958733691,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,A.png,1,2,R,,,,,0,1,1,1,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,K.png,1,3,R,,,,,0,2,2,2,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,D.png,1,4,R,,,,,0,3,3,3,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,C.png,1,5,R,,,,,0,4,4,4,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,M.png,1,6,R,,,,,0,5,5,5,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,E.png,1,7,R,,,,,0,6,6,6,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,C.png,1,8,R,,,,,0,7,7,7,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,J.png,1,9,R,,,,,0,8,8,8,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,F.png,1,10,R,,,,,0,9,9,9,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,J.png,1,11,R,,,,,0,10,10,10,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,L.png,1,12,R,,,,,0,11,11,11,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,G.png,1,13,R,,,,,0,12,12,12,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,G.png,1,14,R,,,,,0,13,13,13,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,A.png,1,15,R,,,,,0,14,14,14,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,H.png,1,16,R,,,,,0,15,15,15,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,K.png,1,17,R,,,,,0,16,16,16,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,M.png,1,18,R,,,,,0,17,17,17,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,F.png,1,19,R,,,,,0,18,18,18,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,K.png,1,20,R,,,,,0,19,19,19,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,B.png,1,21,R,,,,,0,20,20,20,,,,,,3,0.481461212214,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,M.png,1,22,R,,,,,0,21,21,21,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,D.png,1,23,R,,,,,0,22,22,22,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,B.png,1,24,R,,,,,0,23,23,23,,,,,,3,0.389221388265,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,1,Alien7.bmp,None,25,S,0,0,0,0,,,,,,,,,3,,,0.124551822722,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,2,Alien8.bmp,2.0,26,S,0,1,1,1,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,3,Alien9.bmp,2.0,27,S,0,2,2,2,,,,,,,,,3,,,0.35854693428,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
2,1,Alien1.bmp,3.0,28,S,0,3,3,3,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
2,2,Alien2.bmp,3.0,29,S,0,4,4,4,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
2,3,Alien3.bmp,3.0,30,S,0,5,5,5,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,1,Alien7.bmp,3.0,31,S,0,6,6,6,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,2,Alien8.bmp,3.0,32,S,0,7,7,7,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,3,Alien9.bmp,3.0,33,S,0,8,8,8,,,,,,,,,3,,,0.383561803596,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,1,Alien10.bmp,3.0,34,S,0,9,9,9,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,2,Alien11.bmp,3.0,35,S,0,10,10,10,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,3,Alien12.bmp,3.0,36,S,0,11,11,11,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,1,Alien4.bmp,4.0,37,S,0,12,12,12,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,2,Alien5.bmp,4.0,38,S,0,13,13,13,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,3,Alien6.bmp,4.0,39,S,0,14,14,14,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,1,Alien10.bmp,4.0,40,S,0,15,15,15,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,2,Alien11.bmp,4.0,41,S,0,16,16,16,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,3,Alien12.bmp,4.0,42,S,0,17,17,17,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,1,Alien4.bmp,5.0,43,S,0,18,18,18,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,2,Alien5.bmp,5.0,44,S,0,19,19,19,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,3,Alien6.bmp,5.0,45,S,0,20,20,20,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,1,Alien7.bmp,4.0,46,S,0,21,21,21,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,2,Alien8.bmp,4.0,47,S,0,22,22,22,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,3,Alien9.bmp,4.0,48,S,0,23,23,23,,,,,,,,,3,,,0.341947913155,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0.0,0,B,0,24,24,24,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0.0,0,B,0,25,25,25,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0.0,0,B,0,26,26,26,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0.0,0,B,0,27,27,27,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0.0,0,B,0,28,28,28,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0.0,0,B,0,29,29,29,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0.0,0,B,0,30,30,30,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0.0,0,B,0,31,31,31,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0.0,0,B,0,32,32,32,,,,,,,,,3,,,0.842075486347,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0.0,0,B,0,33,33,33,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0.0,0,B,0,34,34,34,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0.0,0,B,0,35,35,35,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
2,1,Alien1.bmp,4.0,49,S,0,36,36,36,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
2,2,Alien2.bmp,4.0,50,S,0,37,37,37,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
2,3,Alien3.bmp,4.0,51,S,0,38,38,38,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,1,Alien10.bmp,5.0,52,S,0,39,39,39,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,2,Alien11.bmp,5.0,53,S,0,40,40,40,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,3,Alien12.bmp,5.0,54,S,0,41,41,41,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,1,Alien4.bmp,6.0,55,S,0,42,42,42,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,2,Alien5.bmp,6.0,56,S,0,43,43,43,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,3,Alien6.bmp,6.0,57,S,0,44,44,44,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,1,Alien7.bmp,5.0,58,S,0,45,45,45,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,2,Alien8.bmp,5.0,59,S,0,46,46,46,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,3,Alien9.bmp,5.0,60,S,0,47,47,47,,,,,,,,,3,,,0.291877214579,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
2,1,Alien1.bmp,5.0,61,S,0,48,48,48,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
2,2,Alien2.bmp,5.0,62,S,0,49,49,49,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
2,3,Alien3.bmp,5.0,63,S,0,50,50,50,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,1,Alien7.bmp,6.0,64,S,0,51,51,51,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,2,Alien8.bmp,6.0,65,S,0,52,52,52,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
4,3,Alien9.bmp,6.0,66,S,0,53,53,53,,,,,,,,,3,,,0.400222549084,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,1,Alien4.bmp,7.0,67,S,0,54,54,54,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,2,Alien5.bmp,7.0,68,S,0,55,55,55,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
1,3,Alien6.bmp,7.0,69,S,0,56,56,56,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,1,Alien10.bmp,6.0,70,S,0,57,57,57,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,2,Alien11.bmp,6.0,71,S,0,58,58,58,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
3,3,Alien12.bmp,6.0,72,S,0,59,59,59,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,K.png,1,25,R,,,,,0,0,0,0,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,L.png,1,26,R,,,,,0,1,1,1,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,B.png,1,27,R,,,,,0,2,2,2,,,,,,3,0.381378410515,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,G.png,1,28,R,,,,,0,3,3,3,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,D.png,1,29,R,,,,,0,4,4,4,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,J.png,1,30,R,,,,,0,5,5,5,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,H.png,1,31,R,,,,,0,6,6,6,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,B.png,1,32,R,,,,,0,7,7,7,,,,,,3,0.314623073136,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,C.png,1,33,R,,,,,0,8,8,8,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,M.png,1,34,R,,,,,0,9,9,9,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,K.png,1,35,R,,,,,0,10,10,10,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,L.png,1,36,R,,,,,0,11,11,11,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,E.png,1,37,R,,,,,0,12,12,12,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,F.png,1,38,R,,,,,0,13,13,13,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,A.png,1,39,R,,,,,0,14,14,14,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,L.png,1,40,R,,,,,0,15,15,15,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,E.png,1,41,R,,,,,0,16,16,16,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,H.png,1,42,R,,,,,0,17,17,17,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,C.png,1,43,R,,,,,0,18,18,18,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,G.png,1,44,R,,,,,0,19,19,19,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,M.png,1,45,R,,,,,0,20,20,20,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,H.png,1,46,R,,,,,0,21,21,21,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,D.png,1,47,R,,,,,0,22,22,22,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,E.png,1,48,R,,,,,0,23,23,23,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,,,,,,,,,0,0,0,0,,,,,None,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,,,,,,,,,0,1,1,1,,,,,None,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,,,,,,,,,0,2,2,2,,,,,None,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,,,,,,,,,0,3,3,3,,,,,None,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,,,,,,,,,0,4,4,4,,,,,None,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,,,,,,,,,0,5,5,5,,,,,None,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,,,,,,,,,0,6,6,6,,,,,None,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,,,,,,,,,0,7,7,7,,,,,None,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,,,,,,,,,0,8,8,8,,,,,None,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,,,,,,,,,0,9,9,9,,,,,None,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,0,blank.png,0,0,B,,,,,,,,,0,10,10,10,,,,,None,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
