word,location,image,repetition,trialnum,condition,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,1,L.png,1,193,R,0,0,0,0,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,M.png,1,194,R,0,1,1,1,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,E.png,1,195,R,0,2,2,2,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,F.png,1,196,R,0,3,3,3,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,E.png,1,197,R,0,4,4,4,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,D.png,1,198,R,0,5,5,5,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,C.png,1,199,R,0,6,6,6,,,,,,,,,3,0.36469633173,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,L.png,1,200,R,0,7,7,7,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,A.png,1,201,R,0,8,8,8,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,B.png,1,202,R,0,9,9,9,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,B.png,1,203,R,0,10,10,10,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,H.png,1,204,R,0,11,11,11,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,G.png,1,205,R,0,12,12,12,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,K.png,1,206,R,0,13,13,13,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,G.png,1,207,R,0,14,14,14,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,A.png,1,208,R,0,15,15,15,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,M.png,1,209,R,0,16,16,16,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,K.png,1,210,R,0,17,17,17,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,C.png,1,211,R,0,18,18,18,,,,,,,,,3,0.406389866548,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,J.png,1,212,R,0,19,19,19,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,J.png,1,213,R,0,20,20,20,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,H.png,1,214,R,0,21,21,21,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,D.png,1,215,R,0,22,22,22,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,F.png,1,216,R,0,23,23,23,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,1,Alien4.bmp,17,193,S,,,,,0,0,0,0,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,2,Alien5.bmp,17,194,S,,,,,0,1,1,1,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,3,Alien6.bmp,17,195,S,,,,,0,2,2,2,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,1,Alien7.bmp,17,196,S,,,,,0,3,3,3,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,2,Alien8.bmp,17,197,S,,,,,0,4,4,4,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,3,Alien9.bmp,17,198,S,,,,,0,5,5,5,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
2,1,Alien1.bmp,17,199,S,,,,,0,6,6,6,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
2,2,Alien2.bmp,17,200,S,,,,,0,7,7,7,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
2,3,Alien3.bmp,17,201,S,,,,,0,8,8,8,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,1,Alien10.bmp,17,202,S,,,,,0,9,9,9,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,2,Alien11.bmp,17,203,S,,,,,0,10,10,10,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,3,Alien12.bmp,17,204,S,,,,,0,11,11,11,,,,,,,3,0.40865745506,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,1,Alien7.bmp,18,205,S,,,,,0,12,12,12,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,2,Alien8.bmp,18,206,S,,,,,0,13,13,13,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,3,Alien9.bmp,18,207,S,,,,,0,14,14,14,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,1,Alien4.bmp,18,208,S,,,,,0,15,15,15,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,2,Alien5.bmp,18,209,S,,,,,0,16,16,16,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,3,Alien6.bmp,18,210,S,,,,,0,17,17,17,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
2,1,Alien1.bmp,18,211,S,,,,,0,18,18,18,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
2,2,Alien2.bmp,18,212,S,,,,,0,19,19,19,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
2,3,Alien3.bmp,18,213,S,,,,,0,20,20,20,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,1,Alien10.bmp,18,214,S,,,,,0,21,21,21,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,2,Alien11.bmp,18,215,S,,,,,0,22,22,22,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,3,Alien12.bmp,18,216,S,,,,,0,23,23,23,,,,,,,3,0.483638631937,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,F.png,1,217,R,0,0,0,0,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,K.png,1,218,R,0,1,1,1,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,C.png,1,219,R,0,2,2,2,,,,,,,,,3,0.506073877506,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,G.png,1,220,R,0,3,3,3,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,A.png,1,221,R,0,4,4,4,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,M.png,1,222,R,0,5,5,5,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,C.png,1,223,R,0,6,6,6,,,,,,,,,3,0.4480731613,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,A.png,1,224,R,0,7,7,7,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,J.png,1,225,R,0,8,8,8,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,E.png,1,226,R,0,9,9,9,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,J.png,1,227,R,0,10,10,10,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,H.png,1,228,R,0,11,11,11,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,H.png,1,229,R,0,12,12,12,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,M.png,1,230,R,0,13,13,13,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,D.png,1,231,R,0,14,14,14,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,D.png,1,232,R,0,15,15,15,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,L.png,1,233,R,0,16,16,16,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,B.png,1,234,R,0,17,17,17,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,K.png,1,235,R,0,18,18,18,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,E.png,1,236,R,0,19,19,19,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,F.png,1,237,R,0,20,20,20,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,G.png,1,238,R,0,21,21,21,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,B.png,1,239,R,0,22,22,22,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,L.png,1,240,R,0,23,23,23,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,1,Alien4.bmp,19,217,S,,,,,0,0,0,0,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,2,Alien5.bmp,19,218,S,,,,,0,1,1,1,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,3,Alien6.bmp,19,219,S,,,,,0,2,2,2,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,1,Alien10.bmp,19,220,S,,,,,0,3,3,3,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,2,Alien11.bmp,19,221,S,,,,,0,4,4,4,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,3,Alien12.bmp,19,222,S,,,,,0,5,5,5,,,,,,,3,0.333623087092,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,1,Alien7.bmp,19,223,S,,,,,0,6,6,6,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,2,Alien8.bmp,19,224,S,,,,,0,7,7,7,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,3,Alien9.bmp,19,225,S,,,,,0,8,8,8,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
2,1,Alien1.bmp,19,226,S,,,,,0,9,9,9,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
2,2,Alien2.bmp,19,227,S,,,,,0,10,10,10,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
2,3,Alien3.bmp,19,228,S,,,,,0,11,11,11,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,1,Alien7.bmp,20,229,S,,,,,0,12,12,12,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,2,Alien8.bmp,20,230,S,,,,,0,13,13,13,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,3,Alien9.bmp,20,231,S,,,,,0,14,14,14,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,1,Alien10.bmp,20,232,S,,,,,0,15,15,15,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,2,Alien11.bmp,20,233,S,,,,,0,16,16,16,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,3,Alien12.bmp,20,234,S,,,,,0,17,17,17,,,,,,,3,0.433605195547,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,1,Alien4.bmp,20,235,S,,,,,0,18,18,18,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,2,Alien5.bmp,20,236,S,,,,,0,19,19,19,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,3,Alien6.bmp,20,237,S,,,,,0,20,20,20,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
2,1,Alien1.bmp,20,238,S,,,,,0,21,21,21,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
2,2,Alien2.bmp,20,239,S,,,,,0,22,22,22,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
2,3,Alien3.bmp,20,240,S,,,,,0,23,23,23,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,0,blank.png,0,0,B,,,,,0,24,24,24,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,0,blank.png,0,0,B,,,,,0,25,25,25,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,0,blank.png,0,0,B,,,,,0,26,26,26,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,0,blank.png,0,0,B,,,,,0,27,27,27,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,0,blank.png,0,0,B,,,,,0,28,28,28,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,0,blank.png,0,0,B,,,,,0,29,29,29,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,0,blank.png,0,0,B,,,,,0,30,30,30,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,0,blank.png,0,0,B,,,,,0,31,31,31,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,0,blank.png,0,0,B,,,,,0,32,32,32,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,0,blank.png,0,0,B,,,,,0,33,33,33,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,0,blank.png,0,0,B,,,,,0,34,34,34,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,0,blank.png,0,0,B,,,,,0,35,35,35,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,D.png,1,241,R,0,0,0,0,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,K.png,1,242,R,0,1,1,1,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,K.png,1,243,R,0,2,2,2,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,H.png,1,244,R,0,3,3,3,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,H.png,1,245,R,0,4,4,4,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,J.png,1,246,R,0,5,5,5,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,F.png,1,247,R,0,6,6,6,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,M.png,1,248,R,0,7,7,7,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,B.png,1,249,R,0,8,8,8,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,C.png,1,250,R,0,9,9,9,,,,,,,,,3,0.614808900515,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,C.png,1,251,R,0,10,10,10,,,,,,,,,3,0.564691268606,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,E.png,1,252,R,0,11,11,11,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,L.png,1,253,R,0,12,12,12,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,G.png,1,254,R,0,13,13,13,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,M.png,1,255,R,0,14,14,14,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,B.png,1,256,R,0,15,15,15,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,E.png,1,257,R,0,16,16,16,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,L.png,1,258,R,0,17,17,17,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,E.png,1,259,R,0,18,18,18,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,H.png,1,260,R,0,19,19,19,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,D.png,1,261,R,0,20,20,20,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,1,A.png,1,262,R,0,21,21,21,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,2,G.png,1,263,R,0,22,22,22,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
0,3,L.png,1,264,R,0,23,23,23,,,,,,,,,None,,,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,1,Alien7.bmp,21,241,S,,,,,0,0,0,0,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,2,Alien8.bmp,21,242,S,,,,,0,1,1,1,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,3,Alien9.bmp,21,243,S,,,,,0,2,2,2,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,1,Alien4.bmp,21,244,S,,,,,0,3,3,3,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,2,Alien5.bmp,21,245,S,,,,,0,4,4,4,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,3,Alien6.bmp,21,246,S,,,,,0,5,5,5,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,1,Alien10.bmp,21,247,S,,,,,0,6,6,6,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,2,Alien11.bmp,21,248,S,,,,,0,7,7,7,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,3,Alien12.bmp,21,249,S,,,,,0,8,8,8,,,,,,,3,0.30022451171,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,1,Alien7.bmp,22,250,S,,,,,0,9,9,9,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,2,Alien8.bmp,22,251,S,,,,,0,10,10,10,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,3,Alien9.bmp,22,252,S,,,,,0,11,11,11,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,1,Alien4.bmp,22,253,S,,,,,0,12,12,12,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,2,Alien5.bmp,22,254,S,,,,,0,13,13,13,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
1,3,Alien6.bmp,22,255,S,,,,,0,14,14,14,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,1,Alien10.bmp,22,256,S,,,,,0,15,15,15,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,2,Alien11.bmp,22,257,S,,,,,0,16,16,16,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
3,3,Alien12.bmp,22,258,S,,,,,0,17,17,17,,,,,,,3,0.400237340131,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
2,1,Alien1.bmp,21,259,S,,,,,0,18,18,18,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
2,2,Alien2.bmp,21,260,S,,,,,0,19,19,19,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
2,3,Alien3.bmp,21,261,S,,,,,0,20,20,20,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,1,Alien7.bmp,23,262,S,,,,,0,21,21,21,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
4,2,Alien8.bmp,23,263,S,,,,,0,22,22,22,,,,,,,None,,,5,12,012,c,119.961134754,visual,2017_Nov_08_1114,
