word,location,image,repetition,trialnum,condition,letter6,letter5,letter4,letter3,letter2,letter1,corrAns,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,forced_test_trials.thisRepN,forced_test_trials.thisTrialN,forced_test_trials.thisN,forced_test_trials.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
1,1,M.png,33,379,S,,,,,,,,0,0,0,0,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
1,2,K.png,33,380,S,,,,,,,,0,1,1,1,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
1,3,B.png,33,381,S,,,,,,,,0,2,2,2,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
1,1,M.png,34,385,S,,,,,,,,0,3,3,3,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
1,2,K.png,34,386,S,,,,,,,,0,4,4,4,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
1,3,B.png,34,387,S,,,,,,,,0,5,5,5,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
4,1,E.png,33,391,S,,,,,,,,0,6,6,6,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
4,2,L.png,33,392,S,,,,,,,,0,7,7,7,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
4,3,H.png,33,393,S,,,,,,,,0,8,8,8,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
3,1,D.png,33,394,S,,,,,,,,0,9,9,9,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
3,2,G.png,33,395,S,,,,,,,,0,10,10,10,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
3,3,C.png,33,396,S,,,,,,,,0,11,11,11,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
2,1,A.png,33,397,S,,,,,,,,0,12,12,12,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
2,2,J.png,33,398,S,,,,,,,,0,13,13,13,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
2,3,F.png,33,399,S,,,,,,,,0,14,14,14,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
1,1,M.png,35,400,S,,,,,,,,0,15,15,15,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
1,2,K.png,35,401,S,,,,,,,,0,16,16,16,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
1,3,B.png,35,402,S,,,,,,,,0,17,17,17,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
3,1,D.png,34,403,S,,,,,,,,0,18,18,18,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
3,2,G.png,34,404,S,,,,,,,,0,19,19,19,,,,,,,,,,,,,3,0.331419594382,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
3,3,C.png,34,405,S,,,,,,,,0,20,20,20,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
4,1,E.png,34,406,S,,,,,,,,0,21,21,21,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
4,2,L.png,34,407,S,,,,,,,,0,22,22,22,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
4,3,H.png,34,408,S,,,,,,,,0,23,23,23,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien5.bmp,1,385,R,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien7.bmp,1,386,R,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien7.bmp,1,387,R,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien9.bmp,1,388,R,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien5.bmp,1,389,R,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien12.bmp,1,390,R,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,3,0.983724116668,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien8.bmp,1,391,R,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien4.bmp,1,392,R,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien5.bmp,1,393,R,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien10.bmp,1,394,R,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien11.bmp,1,395,R,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien6.bmp,1,396,R,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien10.bmp,1,397,R,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien8.bmp,1,398,R,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien1.bmp,1,399,R,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien9.bmp,1,400,R,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien11.bmp,1,401,R,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien4.bmp,1,402,R,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien6.bmp,1,403,R,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien12.bmp,1,404,R,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,3,0.401960558433,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien4.bmp,1,405,R,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien3.bmp,1,406,R,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien6.bmp,1,407,R,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien2.bmp,1,408,R,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,34,34,34,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
2,1,A.png,34,409,S,,,,,,,,0,0,0,0,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
2,2,J.png,34,410,S,,,,,,,,0,1,1,1,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
2,3,F.png,34,411,S,,,,,,,,0,2,2,2,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
1,1,M.png,36,412,S,,,,,,,,0,3,3,3,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
1,2,K.png,36,413,S,,,,,,,,0,4,4,4,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
1,3,B.png,36,414,S,,,,,,,,0,5,5,5,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
2,1,A.png,35,415,S,,,,,,,,0,6,6,6,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
2,2,J.png,35,416,S,,,,,,,,0,7,7,7,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
2,3,F.png,35,417,S,,,,,,,,0,8,8,8,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
4,1,E.png,35,418,S,,,,,,,,0,9,9,9,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
4,2,L.png,35,419,S,,,,,,,,0,10,10,10,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
4,3,H.png,35,420,S,,,,,,,,0,11,11,11,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
3,1,D.png,35,421,S,,,,,,,,0,12,12,12,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
3,2,G.png,35,422,S,,,,,,,,0,13,13,13,,,,,,,,,,,,,3,0.289815683151,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
3,3,C.png,35,423,S,,,,,,,,0,14,14,14,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
4,1,E.png,36,424,S,,,,,,,,0,15,15,15,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
4,2,L.png,36,425,S,,,,,,,,0,16,16,16,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
4,3,H.png,36,426,S,,,,,,,,0,17,17,17,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
3,1,D.png,36,427,S,,,,,,,,0,18,18,18,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
3,2,G.png,36,428,S,,,,,,,,0,19,19,19,,,,,,,,,,,,,3,0.322920124439,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
3,3,C.png,36,429,S,,,,,,,,0,20,20,20,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
2,1,A.png,36,430,S,,,,,,,,0,21,21,21,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
2,2,J.png,36,431,S,,,,,,,,0,22,22,22,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
2,3,F.png,36,432,S,,,,,,,,0,23,23,23,,,,,,,,,,,,,None,,,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,None,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,None,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,None,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,None,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,None,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,None,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,None,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,None,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,None,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,None,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,None,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,None,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien2.bmp,1,409,R,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien6.bmp,1,410,R,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien1.bmp,1,411,R,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien5.bmp,1,412,R,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien3.bmp,1,413,R,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien3.bmp,1,414,R,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien7.bmp,1,415,R,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien4.bmp,1,416,R,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien2.bmp,1,417,R,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien12.bmp,1,418,R,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,3,0.575309809239,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien9.bmp,1,419,R,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien11.bmp,1,420,R,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien12.bmp,1,421,R,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,3,0.425241158708,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien7.bmp,1,422,R,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien8.bmp,1,423,R,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien10.bmp,1,424,R,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien11.bmp,1,425,R,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien3.bmp,1,426,R,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien1.bmp,1,427,R,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien10.bmp,1,428,R,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien2.bmp,1,429,R,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,1,Alien9.bmp,1,430,R,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,2,Alien8.bmp,1,431,R,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,3,Alien1.bmp,1,432,R,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,None,,,,,,3,12,008,G,119.865086478,visual,2017_Nov_01_1228,
