part_id,hit_trial_number,task
blast_c_002,23,ssl
blast_c_019,40,ssl
blast_c_028,16,ssl
blast_c_036,39,ssl
blast_c_038,29,ssl
blast_c_045,45,ssl
blast_c_059,16,ssl
blast_c_071,36,ssl
blast_c_085,28,ssl
blast_c_092,28,ssl
blast_c_095,34,ssl
blast_c_147,28,ssl
blast_c_149,10,ssl
blast_c_168,37,ssl
blast_c_193,33,ssl
blast_c_206,41,ssl
blast_c_209,22,ssl
blast_c_210,7,ssl
blast_c_213,39,ssl
blast_c_216,35,ssl
blast_c_220,45,ssl
blast_c_232,40,ssl
blast_c_233,40,ssl
blast_c_265,35,ssl
blast_c_267,29,ssl
blast_c_268,31,ssl
blast_c_409,18,ssl
blast_c_420,44,ssl
blast_c_423,8,ssl
blast_c_428,39,ssl
blast_c_438,36,ssl
blast_c_440,39,ssl
blast_c_444,19,ssl
blast_c_449,20,ssl
blast_c_450,31,ssl
blast_c_451,44,ssl
blast_c_454,29,ssl
blast_c_457,40,ssl
blast_c_462,12,ssl
blast_c_467,27,ssl
blast_c_470,16,ssl
blast_c_475,19,ssl
spoli_c_008,12,ssl
spoli_c_097,28,ssl
spoli_c_391,30,ssl
spoli_c_396,33,ssl
spoli_c_409,26,ssl
spoli_c_410,26,ssl
spoli_c_419,4,ssl
spoli_c_439,32,ssl
spoli_c_444,32,ssl
spoli_c_447,34,ssl
spoli_c_448,21,ssl
spoli_c_450,30,ssl
spoli_c_451,48,ssl
spoli_c_452,30,ssl
spoli_c_487,36,ssl
spoli_c_501,27,ssl
blast_c_002,17,tsl
blast_c_019,22,tsl
blast_c_036,27,tsl
blast_c_038,16,tsl
blast_c_045,38,tsl
blast_c_059,19,tsl
blast_c_071,22,tsl
blast_c_085,29,tsl
blast_c_092,28,tsl
blast_c_095,30,tsl
blast_c_118,23,tsl
blast_c_147,34,tsl
blast_c_149,15,tsl
blast_c_168,37,tsl
blast_c_193,29,tsl
blast_c_206,26,tsl
blast_c_209,3,tsl
blast_c_210,8,tsl
blast_c_211,17,tsl
blast_c_213,8,tsl
blast_c_216,6,tsl
blast_c_220,39,tsl
blast_c_232,28,tsl
blast_c_233,39,tsl
blast_c_265,23,tsl
blast_c_267,33,tsl
blast_c_268,30,tsl
blast_c_409,28,tsl
blast_c_420,35,tsl
blast_c_427,27,tsl
blast_c_428,42,tsl
blast_c_438,7,tsl
blast_c_440,30,tsl
blast_c_444,18,tsl
blast_c_451,9,tsl
blast_c_454,18,tsl
blast_c_457,20,tsl
blast_c_462,23,tsl
blast_c_467,26,tsl
blast_c_470,18,tsl
blast_c_475,9,tsl
blast_c_476,10,tsl
spoli_c_008,30,tsl
spoli_c_097,42,tsl
spoli_c_391,12,tsl
spoli_c_396,23,tsl
spoli_c_409,28,tsl
spoli_c_410,24,tsl
spoli_c_419,22,tsl
spoli_c_439,21,tsl
spoli_c_444,37,tsl
spoli_c_447,6,tsl
spoli_c_448,33,tsl
spoli_c_450,14,tsl
spoli_c_451,27,tsl
spoli_c_452,16,tsl
spoli_c_487,17,tsl
spoli_c_501,15,tsl
blast_c_002,21,vsl
blast_c_019,15,vsl
blast_c_028,22,vsl
blast_c_036,19,vsl
blast_c_038,23,vsl
blast_c_045,24,vsl
blast_c_059,20,vsl
blast_c_071,24,vsl
blast_c_085,8,vsl
blast_c_092,23,vsl
blast_c_095,23,vsl
blast_c_118,23,vsl
blast_c_147,22,vsl
blast_c_149,22,vsl
blast_c_168,23,vsl
blast_c_193,24,vsl
blast_c_206,23,vsl
blast_c_209,9,vsl
blast_c_210,22,vsl
blast_c_211,21,vsl
blast_c_213,24,vsl
blast_c_216,22,vsl
blast_c_220,24,vsl
blast_c_232,24,vsl
blast_c_233,24,vsl
blast_c_265,24,vsl
blast_c_267,24,vsl
blast_c_268,22,vsl
blast_c_409,24,vsl
blast_c_420,21,vsl
blast_c_423,21,vsl
blast_c_427,24,vsl
blast_c_428,22,vsl
blast_c_438,24,vsl
blast_c_440,18,vsl
blast_c_444,23,vsl
blast_c_449,24,vsl
blast_c_450,24,vsl
blast_c_451,24,vsl
blast_c_454,21,vsl
blast_c_457,24,vsl
blast_c_462,21,vsl
blast_c_467,22,vsl
blast_c_470,24,vsl
blast_c_475,23,vsl
blast_c_476,24,vsl
spoli_c_008,24,vsl
spoli_c_097,23,vsl
spoli_c_391,22,vsl
spoli_c_396,23,vsl
spoli_c_409,22,vsl
spoli_c_419,24,vsl
spoli_c_439,8,vsl
spoli_c_444,23,vsl
spoli_c_447,19,vsl
spoli_c_448,24,vsl
spoli_c_450,24,vsl
spoli_c_452,22,vsl
spoli_c_487,23,vsl
spoli_c_501,24,vsl
blast_c_002,15,lsl
blast_c_019,23,lsl
blast_c_028,12,lsl
blast_c_036,23,lsl
blast_c_038,22,lsl
blast_c_045,24,lsl
blast_c_059,16,lsl
blast_c_071,23,lsl
blast_c_092,23,lsl
blast_c_095,24,lsl
blast_c_118,24,lsl
blast_c_147,24,lsl
blast_c_149,18,lsl
blast_c_168,19,lsl
blast_c_193,18,lsl
blast_c_206,23,lsl
blast_c_209,8,lsl
blast_c_210,23,lsl
blast_c_211,17,lsl
blast_c_213,23,lsl
blast_c_216,22,lsl
blast_c_220,24,lsl
blast_c_232,24,lsl
blast_c_233,24,lsl
blast_c_265,24,lsl
blast_c_267,22,lsl
blast_c_268,22,lsl
blast_c_409,24,lsl
blast_c_423,15,lsl
blast_c_427,22,lsl
blast_c_428,20,lsl
blast_c_438,23,lsl
blast_c_440,19,lsl
blast_c_444,22,lsl
blast_c_449,20,lsl
blast_c_450,24,lsl
blast_c_451,23,lsl
blast_c_454,24,lsl
blast_c_457,22,lsl
blast_c_462,21,lsl
blast_c_467,23,lsl
blast_c_470,21,lsl
blast_c_475,20,lsl
blast_c_476,24,lsl
spoli_c_008,21,lsl
spoli_c_097,24,lsl
spoli_c_391,22,lsl
spoli_c_396,16,lsl
spoli_c_410,20,lsl
spoli_c_419,24,lsl
spoli_c_439,24,lsl
spoli_c_444,21,lsl
spoli_c_447,19,lsl
spoli_c_448,19,lsl
spoli_c_450,24,lsl
spoli_c_451,20,lsl
spoli_c_452,19,lsl
spoli_c_487,23,lsl
spoli_c_501,22,lsl